Song Group,Video Title,Video ID,URL
Aftershock,2000-2001 Vermilion Sailor Marching Band - Aftershock,fSPutU7Qvho,https://www.youtube.com/watch?v=fSPutU7Qvho
Aftershock,1994-1995 Vermilion Sailor Marching Band - Closer - Aftershock,mObmYOgqY8w,https://www.youtube.com/watch?v=mObmYOgqY8w
After The Love Is Gone,2014-2015 Vermilion Sailor Marching Band - After The Love Is Gone,ZDJ0DaXJpUk,https://www.youtube.com/watch?v=ZDJ0DaXJpUk
Alma Mater,2023 Vermilion Sailor Alumni Band  - Alma Mater,DHaKvXLQsD0,https://www.youtube.com/watch?v=DHaKvXLQsD0
Alma Mater,2018 Vermilion Sailor Alumni Band - Alma Mater,RDUQ5sUxS2U,https://www.youtube.com/watch?v=RDUQ5sUxS2U
Alma Mater,2018-2019 Vermilion Sailor Marching  Band  -  Alma Mater Endzone,9PGIpf3wKI0,https://www.youtube.com/watch?v=9PGIpf3wKI0
Alma Mater,1999-2000 Vermilion Sailor Marching Band  - Pregame - Alma Mater,EUZSSXVxCY8,https://www.youtube.com/watch?v=EUZSSXVxCY8
Alma Mater,2011 Vermilion Sailor Alumni Band - Alma Mater,a94r_ZuV6bw,https://www.youtube.com/watch?v=a94r_ZuV6bw
Alma Mater,2012 Vermilion Sailor Alumni Band - Alma Mater,wyl6FOP757c,https://www.youtube.com/watch?v=wyl6FOP757c
Alma Mater,2013 Vermilion Sailor Alumni Band - Alma Mater,Vd1bhJ3jsgk,https://www.youtube.com/watch?v=Vd1bhJ3jsgk
Alma Mater,2014 Vermilion Sailor Alumni Band - Alma Mater,wDEpfBnWgos,https://www.youtube.com/watch?v=wDEpfBnWgos
Alma Mater,2016 Vermilion Sailor Alumni Band - Alma Mater,m4if7mSFhpg,https://www.youtube.com/watch?v=m4if7mSFhpg
Alma Mater,2010 Vermilion Sailor Alumni Band -  Alma Mater,q-ht1ZaCNI4,https://www.youtube.com/watch?v=q-ht1ZaCNI4
Alma Mater,2009 Vermilion Sailor Alumni Band - Alma Mater,q7s3B_zcQkw,https://www.youtube.com/watch?v=q7s3B_zcQkw
Alma Mater,2008 Vermilion Sailor Alumni Band - Alma Mater,iKVU6yKDx8M,https://www.youtube.com/watch?v=iKVU6yKDx8M
Alma Mater,2007 Vermilion Sailor Alumni Band - Alma Mater,g2yvf-CvQSA,https://www.youtube.com/watch?v=g2yvf-CvQSA
Alma Mater,1994 Vermilion Sailor Alumni Band - Alma Mater,8q7_-RY_CJ8,https://www.youtube.com/watch?v=8q7_-RY_CJ8
Alma Mater,1993 Vermilion Sailor Alumni Band - Alma Mater,wknY6ymgubY,https://www.youtube.com/watch?v=wknY6ymgubY
Alma Mater,1992 Vermilion Sailor Alumni Band - Alma Mater,wsmjfHiq3Bs,https://www.youtube.com/watch?v=wsmjfHiq3Bs
Alma Mater,1991 Vermilion Sailor Alumni Band - Alma Mater,e_FEjoTwObk,https://www.youtube.com/watch?v=e_FEjoTwObk
Alma Mater,1990 Vermilion Sailor Alumni Band - Alma Mater,cmqT3WR7lVQ,https://www.youtube.com/watch?v=cmqT3WR7lVQ
Alma Mater,1989 Vermilion Sailor Alumni Band - Alma Mater,d5Dh6M9sUnE,https://www.youtube.com/watch?v=d5Dh6M9sUnE
Alma Mater,1988 Vermilion Sailor Alumni Band - Alma Mater,cZCK0qq7XeE,https://www.youtube.com/watch?v=cZCK0qq7XeE
Alma Mater,1987 Vermilion Sailor Alumni Band   - Alma Mater,Ns5p6o3jQ6s,https://www.youtube.com/watch?v=Ns5p6o3jQ6s
Alma Mater,1986 Vermilion Sailor Alumni Band  - Alma Mater,FVjpZ7h4xlE,https://www.youtube.com/watch?v=FVjpZ7h4xlE
Alexander's Rag Time Band,1986 Vermilion Sailor Alumni Band   - Alexander's Ragtime Band,5dztjqc2uBs,https://www.youtube.com/watch?v=5dztjqc2uBs
Alive and Amplified,2011-2012 Vermilion Sailor Marching Band - Alive And Amplified,LonWFfoeZPY,https://www.youtube.com/watch?v=LonWFfoeZPY
All At Once,1994-1995 Vermilion Sailor Marching Band All At Once,Zal4gbvuiXQ,https://www.youtube.com/watch?v=Zal4gbvuiXQ
America The Beautiful,2000-2001 Vermilion Sailor Marching Band - America The Beautiful,bnT8uXT8-6Q,https://www.youtube.com/watch?v=bnT8uXT8-6Q
American Woman,1999-2000 Vermilion Sailor Marching Band - American Woman Partial,1izsyagn1Lg,https://www.youtube.com/watch?v=1izsyagn1Lg
Anyway You Want It,2012 Vermilion Sailor Alumni Band - Anyway You Want It,n46bxdBh8yM,https://www.youtube.com/watch?v=n46bxdBh8yM
Are You Ready For This,2002-2003 Vermilion Sailor Marching Band - Are You Ready For This,6pLe4hAxCcI,https://www.youtube.com/watch?v=6pLe4hAxCcI
Armada,1991-1992 Vermilion Sailor Marching Band - Armada,8Tns7U9sUiI,https://www.youtube.com/watch?v=8Tns7U9sUiI
Armada,1993-1994 Vermilion Sailor Marching Band - Armada - Dover Festival,4WUhiUGajzA,https://www.youtube.com/watch?v=4WUhiUGajzA
Armada,1993-1994 Vermilion Sailor Marching Band - Armada - V Firelands,0Vw43-rSXxY,https://www.youtube.com/watch?v=0Vw43-rSXxY
Artistry and Rhythm,1994 Vermilion Sailor Alumni Band - Artistry and Rhythm,-gKQZKQRDKA,https://www.youtube.com/watch?v=-gKQZKQRDKA
Artistry and Rhythm,1991 Vermilion Sailor Alumni Band - Artistry and Rhythm,8Nkzh81BadE,https://www.youtube.com/watch?v=8Nkzh81BadE
At The Hop,1999-2000 Vermilion Sailor Marching Band - At The Hop,8JuakuyPaLo,https://www.youtube.com/watch?v=8JuakuyPaLo
Avalon,1993-1994 Vermilion Sailor Marching Band - Avalon - V Southview,NLHhoprgbKo,https://www.youtube.com/watch?v=NLHhoprgbKo
Bad Medicine,2019 Vermilion Sailor Alumni Band - Bad Medicine,xrl-bjxVqBA,https://www.youtube.com/watch?v=xrl-bjxVqBA
Bad Medicine,2018 Vermilion Sailor Alumni Band  - Bad Medicine Practice,m4aNhhwt9sc,https://www.youtube.com/watch?v=m4aNhhwt9sc
Bad Medicine,2018 Vermilion Sailor Alumni Band  - Bad Medicine,3XDgcSv-64M,https://www.youtube.com/watch?v=3XDgcSv-64M
Bad Medicine,2016 Vermilion Sailor Alumni Band - Bad Medicine,Jkj6PQ986dw,https://www.youtube.com/watch?v=Jkj6PQ986dw
Back in the USSR,1997-1998 Vermilion Sailor Marching Band - Back In The USSR / The End,HFHLFK4Hi3c,https://www.youtube.com/watch?v=HFHLFK4Hi3c
Back in the USSR,1997-1998 Vermilion Sailor Marching Band - Back in the USSR - The End,m64s7Y7MAEU,https://www.youtube.com/watch?v=m64s7Y7MAEU
Barbara Ann,2002 Vermilion Sailor Alumni Band - Second Source - Barbara Ann,1tEJzpaIsJ4,https://www.youtube.com/watch?v=1tEJzpaIsJ4
Barbara Ann,1985-1986 Vermilion Sailor Marching Band - Barbara Ann,S-87l7TF8YY,https://www.youtube.com/watch?v=S-87l7TF8YY
Barbara Ann,2002 Vermilion Sailor Alumni Band - Barbara Ann,dQg6oFaPHJ0,https://www.youtube.com/watch?v=dQg6oFaPHJ0
Basin Street Blues,2007 Vermilion Sailor Alumni Band - Basin Street Blues,XqABw0-Bolw,https://www.youtube.com/watch?v=XqABw0-Bolw
Basin Street Blues,1986 Vermilion Sailor Alumni Band - Basin Street Blues,XCVYAZ3b1bI,https://www.youtube.com/watch?v=XCVYAZ3b1bI
Beat It,2023-2024 Vermilion Sailor Marching Band  - Beat It  - 9-8-2023,mEvhJLLuksc,https://www.youtube.com/watch?v=mEvhJLLuksc
Beat It,2023-2024 Vermilion Sailor Marching Band  - Beat It  -  9-9-202,LKTSzf0gfaI,https://www.youtube.com/watch?v=LKTSzf0gfaI
Beat It,2023-2024 Vermilion Sailor Marching Band  - Beat It  -  9-15-2023,xvmg9RSzbrc,https://www.youtube.com/watch?v=xvmg9RSzbrc
Beatles Mash Up,2015-2016 Vermilion Sailor Marching Band - Beatles Mashup - v Willard,YaOx8lFJbfc,https://www.youtube.com/watch?v=YaOx8lFJbfc
Bend Me Shake Me,2003-2004 Vermilion Sailor Marching Band - Bend Me Shake Me,Yz4h2LDubZQ,https://www.youtube.com/watch?v=Yz4h2LDubZQ
Bend Me Shake Me,2012 Vermilion Sailor Alumni Band - Bend Me Shake Me,9O7qMGQEZ5c,https://www.youtube.com/watch?v=9O7qMGQEZ5c
Big Band Beats,1993-1994 Vermilion Sailor Marching Band - Big Band Beats - V Lorain,i1b4LDcC1ls,https://www.youtube.com/watch?v=i1b4LDcC1ls
Big Band Beats,1994-1995 Vermilion Sailor Marching Band - Big Band Beats,xhCq-8D6Hw8,https://www.youtube.com/watch?v=xhCq-8D6Hw8
Bohemian Rhapsody,2013-2014 Vermilion Sailor Marching Band - Bohemian Rhapsody,TU5JQ1UUCiI,https://www.youtube.com/watch?v=TU5JQ1UUCiI
By The Sea,1986 Vermilion Sailor Alumni Band Show - By The Sea,rZLTTZ2Ekyw,https://www.youtube.com/watch?v=rZLTTZ2Ekyw
Cadence,2023-2024 Vermilion Sailor Marching Band  - Cadence - 9-8-2023,RG9NQFzTpb4,https://www.youtube.com/watch?v=RG9NQFzTpb4
Cadence,2023-2024 Vermilion Sailor Marching Band  - Cadence  - 8-25-2023,Z266xpvTUDI,https://www.youtube.com/watch?v=Z266xpvTUDI
Cadence,2023-2024 Vermilion Sailor Marching Band  - Cadence  - 8-18-2023,bxtDLq_R_w8,https://www.youtube.com/watch?v=bxtDLq_R_w8
Cadence,2018-2019 Vermilion Sailor Marching  Band  - Cadence Behind School,WckJ9PI9ihs,https://www.youtube.com/watch?v=WckJ9PI9ihs
Cadence,1995-1996 Vermilion Sailor Marching Band - Cadence - Band In Review,Bz6cvT8AmyE,https://www.youtube.com/watch?v=Bz6cvT8AmyE
California,1992 Vermilion Sailor Alumni Band - California,jaYrH2zd7D4,https://www.youtube.com/watch?v=jaYrH2zd7D4
Can't Buy Me Love,2014 Vermilion Sailor Alumni Band - Can't Buy Me Love,TzPXAQxzqqQ,https://www.youtube.com/watch?v=TzPXAQxzqqQ
Celebrate a Celebration,2003-2004 Vermilion Sailor Marching Band - Celebrate The Celebration,zJPCbEzmnrc,https://www.youtube.com/watch?v=zJPCbEzmnrc
Chameleon,1998-1999 Vermilion Sailor Marching Band - Chameleon,Ln0YbwVlRdM,https://www.youtube.com/watch?v=Ln0YbwVlRdM
China Grove,2022 Vermilion Sailor Alumni Band - China Grove,Y67vVIh4FrA,https://www.youtube.com/watch?v=Y67vVIh4FrA
China Grove,2003 Vermilion Sailor Alumni Band -  Second Source - China Grove,yPF7JL2rjl0,https://www.youtube.com/watch?v=yPF7JL2rjl0
China Grove,2003 Vermilion Sailor Alumni Band -  Second Source - China Grove,SsPcxLvD32o,https://www.youtube.com/watch?v=SsPcxLvD32o
China Grove,1999-2000 Vermilion Sailor Marching Band  - Preseason - China Grove,mBa-UvnRD3Y,https://www.youtube.com/watch?v=mBa-UvnRD3Y
China Grove,1990-1991 Vermilion Sailor Marching Band - China Grove,_Ww4MiFVYE8,https://www.youtube.com/watch?v=_Ww4MiFVYE8
Chorus Line,1991-1992 Vermilion Sailor Marching Band - Chorus Line - Senior Night,8n547YdayK8,https://www.youtube.com/watch?v=8n547YdayK8
The Circle of Life,2018-2019 Vermilion Sailor Marching  Band  - Circle of Life,g1p4zvv9Xbc,https://www.youtube.com/watch?v=g1p4zvv9Xbc
The Circle of Life,2018-2019 Vermilion Sailor Marching  Band  - 8-31-18 - Circle of Life,3rCQ1VPV1ZU,https://www.youtube.com/watch?v=3rCQ1VPV1ZU
The Contender,2000-2001 Vermilion Sailor Marching Band - The Contender,Rbp9WGJL7AI,https://www.youtube.com/watch?v=Rbp9WGJL7AI
The Contender,2000-2001 Vermilion Sailor Marching Band - The Contender,3vkSGH8T_rQ,https://www.youtube.com/watch?v=3vkSGH8T_rQ
Come Out and Play,2008 Vermilion Sailor Alumni Band - Come Out And Play,29kXXDL8-CE,https://www.youtube.com/watch?v=29kXXDL8-CE
Come Sail Away,2003-2004 Vermilion Sailor Marching Band - Come Sail Away,wbfduyj9HLA,https://www.youtube.com/watch?v=wbfduyj9HLA
Conga,1991-1992 Vermilion Sailor Marching Band - Conga - First Home Game,DTzSul3OHHo,https://www.youtube.com/watch?v=DTzSul3OHHo
Cotton Eye Joe,2022-2023 Vermilion Sailor Marching Band - Cotton Eye Joe - 9-23-2022,R0Su9CI6VB4,https://www.youtube.com/watch?v=R0Su9CI6VB4
Crazy In Love,2023-2024 Vermilion Sailor Marching Band  - Crazy in Love - 8-25-2023,M84KCqsth0w,https://www.youtube.com/watch?v=M84KCqsth0w
Crazy In Love,2023-2024 Vermilion Sailor Marching Band  - Crazy In Love - 8-18-2023,E1d8UJ6QFYs,https://www.youtube.com/watch?v=E1d8UJ6QFYs
Crazy Train,2003-2004 Vermilion Sailor Marching Band  - Crazy Train - Senior Show,OX6pzGSKddc,https://www.youtube.com/watch?v=OX6pzGSKddc
Creep,2013-2014  Vermilion Sailor Marching Band - Creep,qbINtn0qhdc,https://www.youtube.com/watch?v=qbINtn0qhdc
Crocodile Rock,1991-1992 Vermilion Sailor Marching Band - Crocodile Rock,yxN5DrlbP_Q,https://www.youtube.com/watch?v=yxN5DrlbP_Q
Dancing Queen,2018-2019 Vermilion Sailor Marching  Band  - Dancing Queen,gYEYot5fGVA,https://www.youtube.com/watch?v=gYEYot5fGVA
Dancing Queen,2018-2019 Vermilion Sailor Marching  Band  - 9-7-2018 - Dancing Queen,Gi-mS1txbhA,https://www.youtube.com/watch?v=Gi-mS1txbhA
Daytripper,1987-1988 Vermilion Sailor Marching Band - Day Tripper - Williamsburg,37IwPfoMZQQ,https://www.youtube.com/watch?v=37IwPfoMZQQ
Daytripper,1993-1994 Vermilion Sailor Marching Band - Day Tripper - V John Adams,ZQGFyKTjLR4,https://www.youtube.com/watch?v=ZQGFyKTjLR4
Disco Inferno,2014-2015 Vermilion Sailor Marching Band - Disco Inferno,D6GnVPfGxcg,https://www.youtube.com/watch?v=D6GnVPfGxcg
Don't Rain On My Parade,1994 Vermilion Sailor Alumni Band - Don't Rain on My Parade,1r5XF2GcQSI,https://www.youtube.com/watch?v=1r5XF2GcQSI
Don't Rain On My Parade,1988 Vermilion Sailor Alumni Band - Don't Rain on My Parade,cjNOF6oFdz8,https://www.youtube.com/watch?v=cjNOF6oFdz8
Don't Stop Believing,2018-2019 Vermilion Sailor Marching  Band  - Don't Stop Believing,-3cpPZ1UysQ,https://www.youtube.com/watch?v=-3cpPZ1UysQ
Dream On,2012-2013 Vermilion Sailor Marching Band -  Dream On,uuEKw7yvsS0,https://www.youtube.com/watch?v=uuEKw7yvsS0
Enough is Enough,1985-1986 Vermilion Sailor Marching Band - Enough is a Enough,BISsXETcorU,https://www.youtube.com/watch?v=BISsXETcorU
Enter Sandman,2022-2023 Vermilion Sailor Marching Band - Enter Sandman - 9-30-2022,Or2l54CFFss,https://www.youtube.com/watch?v=Or2l54CFFss
Enter Sandman,2022-2023 Vermilion Sailor Marching Band - Enter Sandman - 8-19-2022,qqa4urxzywE,https://www.youtube.com/watch?v=qqa4urxzywE
Everything's Coming Up Roses,1993 Vermilion Sailor Alumni Band - Everything is Coming Up Roses,cNS67XmkCJQ,https://www.youtube.com/watch?v=cNS67XmkCJQ
Everything's Coming Up Roses,1987 Vermilion Sailor Alumni Band - Everything Is Coming Up Roses,M_0Qg8DJThE,https://www.youtube.com/watch?v=M_0Qg8DJThE
Eye of the Tiger,1996-1997 Vermilion High School Marching Band - Eye of The Tiger,2kScF_wsu20,https://www.youtube.com/watch?v=2kScF_wsu20
Fanfares,2023 Vermilion Sailor Alumni Band - Practice - Fanfares,V7qP3qCoUn8,https://www.youtube.com/watch?v=V7qP3qCoUn8
Fight Song -- Anchors Aweigh,1995-1996 Vermilion Sailor Marching Band - Anchors Away,L6oy0BlrVJM,https://www.youtube.com/watch?v=L6oy0BlrVJM
Fight Song -- Anchors Aweigh,1986 Vermilion Sailor Alumni Band   - Fight Song/Anchor's Away,9VZioQT-8Zs,https://www.youtube.com/watch?v=9VZioQT-8Zs
